Artículo;Cantidad;Final;Costo;Neto;Margen;;;
;budin valenciano con frutas170g;;;7,00 ;700,00 ;366,17 ;578,51 ;57,99 
;CABALLA en ACEITE puglisi  380g;;;2,00 ;560,00 ;251,20 ;462,81 ;84,24 
;cafe saquito la virginia puro aroma 7gr;;;81,00 ;3.240,00 ;1.710,72 ;2.677,69 ;56,52 
;Caldo Gallina x 2;;;1,00 ;5,00 ;2,59 ;5,00 ;93,05 
;Caldo Maggi carne;;;1,00 ;150,00 ;77,61 ;123,97 ;59,73 
;Caldo Maggi Gallina;;;2,00 ;300,00 ;155,22 ;247,93 ;59,73 
;Cappuccino La Virginia x Sobre de 12.5 g;;;19,00 ;1.140,00 ;608,00 ;942,15 ;54,96 
;cappucciono la virginia;;;34,00 ;2.300,00 ;0,00 ;2.300,00 ;0,00 
;Carbon Loeones;;;57,00 ;15.400,00 ;7.488,00 ;12.727,27 ;69,97 
;CBSE naranja  500g;;;6,00 ;1.650,00 ;719,28 ;1.363,64 ;89,58 
;Choclo cremoso Arcor;;;1,00 ;205,00 ;11,95 ;205,00 ;1.615,48 
;Choclo en granos Arcor;;;4,00 ;830,00 ;359,40 ;685,95 ;90,86 
;condimento para arroz  La canasta;;;1,00 ;50,00 ;24,50 ;41,32 ;68,66 
;condimento para pizza 25g;;;1,00 ;45,00 ;24,75 ;37,19 ;50,26 
;DANICA salsa barbacoa 220g;;;7,00 ;1.080,00 ;449,47 ;892,56 ;98,58 
;detergente ala plus cremoso 750ml;;;1,00 ;130,00 ;46,47 ;107,44 ;131,20 
;dulce de leche san ignacio tradicional 200g;;;6,00 ;960,00 ;498,00 ;793,39 ;59,31 
;dulce de leche Tonadita 250g;;;6,00 ;840,00 ;432,00 ;694,22 ;60,70 
;dulce de leche tregar clasico 400g;;;7,00 ;1.490,00 ;686,94 ;1.231,40 ;79,26 
;Durazno Lata bahia 820g;;;1,00 ;280,00 ;153,00 ;231,41 ;51,25 
;Edulcorante Si Diet 250 ml;;;12,00 ;2.500,00 ;1.281,60 ;2.066,12 ;61,21 
;esponja;;;1,00 ;50,00 ;27,00 ;41,32 ;53,05 
;Esponja amarilla virulana;;;2,00 ;100,00 ;28,00 ;82,64 ;195,16 
;fastix antihongos  25g;;;1,00 ;305,00 ;167,82 ;252,07 ;50,20 
;fideos mostacholes terrabusi x 500 grs;;;12,00 ;1.260,00 ;648,00 ;1.041,32 ;60,70 
;fideos Tallarines terrabusi;;;5,00 ;650,00 ;342,95 ;537,19 ;56,64 
;galletas GRANIX salvado;;;1,00 ;160,00 ;87,05 ;132,23 ;51,90 
;galletas GRANIX sin sal;;;3,00 ;420,00 ;219,45 ;347,11 ;58,17 
;Gaona crunchips colores;;;2,00 ;400,00 ;210,00 ;330,58 ;57,42 
;Gaona crunchips dark;;;4,00 ;800,00 ;420,00 ;661,16 ;57,42 
;Gelatina BC  Frutilla;;;3,00 ;150,00 ;77,64 ;123,97 ;59,67 
;hamburguesa paty express x 2;;;6,00 ;720,00 ;390,00 ;595,04 ;52,57 
;HANKS sabor cheddar;;;2,00 ;650,00 ;344,06 ;537,19 ;56,13 
;HANKS sabor chocolate;;;3,00 ;810,00 ;429,00 ;669,42 ;56,04 
;HANKS sabor cookies & cream 178g;;;6,00 ;1.920,00 ;1.026,00 ;1.586,78 ;54,66 
;HANKS sabor marroc;;;4,00 ;1.080,00 ;452,00 ;892,56 ;97,47 
;HANKS sabor vainilla;;;2,00 ;540,00 ;276,00 ;446,28 ;61,70 
;Harina barbara 000 1 kilo;;;5,00 ;500,00 ;329,45 ;500,00 ;51,77 
;harina blancaflor 0000 1kg;;;4,00 ;1.040,00 ;492,00 ;859,50 ;74,70 
;Harina Favorita 000;;;8,00 ;1.040,00 ;558,40 ;859,50 ;53,92 
;Harina leudante BlancaFlor;;;6,00 ;780,00 ;480,00 ;705,88 ;47,06 
;hellmanns salsa aji picante 240g;;;3,00 ;690,00 ;363,39 ;570,25 ;56,92 
;Jardinera Arcor 300g;;;3,00 ;450,00 ;166,77 ;371,90 ;123,00 
;la campagnola choclo cremoso 300g;;;3,00 ;565,00 ;207,63 ;466,94 ;124,89 
;la campagnola mermelada durazno;;;2,00 ;840,00 ;438,00 ;694,21 ;58,50 
;La canasta chimichurri 25g;;;1,00 ;60,00 ;31,89 ;49,59 ;55,49 
;la canasta comino 25g;;;2,00 ;140,00 ;74,00 ;115,70 ;56,35 
;lampara rayovac luz blanca  8w;;;7,00 ;700,00 ;371,77 ;578,51 ;55,61 
;Leche condensada Nestle;;;2,00 ;560,00 ;220,00 ;462,81 ;110,37 
;Leche La Serenisima descremeda;;;1,00 ;150,00 ;65,00 ;123,97 ;90,72 
;leche larga vida milkaut descremada 1L;;;5,00 ;1.000,00 ;520,00 ;826,45 ;58,93 
;leche larga vida milkaut entera 1L;;;7,00 ;1.400,00 ;728,00 ;1.157,03 ;58,93 
;lentejas arcor x 300 grs;;;3,00 ;460,00 ;219,00 ;380,17 ;73,59 
;Lentejas La Abadía 400g;;;8,00 ;1.200,00 ;628,08 ;991,74 ;57,90 
;Lucchetti ave maria  500g;;;2,00 ;180,00 ;90,72 ;148,76 ;63,98 
;Lucchetti Codito 500g;;;1,00 ;80,00 ;23,09 ;66,12 ;186,34 
;lucchetti moños 500g;;;2,00 ;500,00 ;264,00 ;413,22 ;56,52 
