Artículo;Cantidad;Final;Costo;Neto;Margen;;;
;Gaona crunchips;;;14,00 ;2.230,00 ;828,80 ;1.842,98 ;122,37 
;Granagua sandwich granix 200 g;;;5,00 ;700,00 ;445,75 ;700,00 ;57,04 
;Hogareñas 7 Semillas 189g;;;12,00 ;1.440,00 ;394,80 ;1.190,08 ;201,44 
;Hogareñas 7 semillas 200 grs;;;12,00 ;1.620,00 ;781,08 ;1.338,84 ;71,41 
;Hogareñas Mix de Cereales 185g;;;3,00 ;300,00 ;139,17 ;247,93 ;78,15 
;Hogareñas mix de cereales 200 grs;;;28,00 ;3.800,00 ;1.822,52 ;3.140,50 ;72,32 
;Hogareñas Salvado 200g;;;19,00 ;2.610,00 ;1.204,63 ;2.157,03 ;79,06 
;Hogareñas sesamo 200 grs;;;12,00 ;1.665,00 ;781,08 ;1.376,03 ;76,17 
;Hojaldrada triangulitos;;;46,00 ;6.740,00 ;2.782,00 ;5.570,25 ;100,22 
;La Providencia x3;;;16,00 ;2.270,00 ;969,60 ;1.876,03 ;93,49 
;Lincoln Clasica;;;22,00 ;2.460,00 ;1.271,24 ;2.033,06 ;59,93 
;Macucas Chocolate 110g;;;54,00 ;6.220,00 ;2.894,20 ;5.140,50 ;77,61 
;Madgalenas don Satur Marmoladas;;;17,00 ;4.810,00 ;1.190,00 ;3.975,21 ;234,05 
;Magdalenas sabor vainilla;;;4,00 ;1.160,00 ;525,88 ;958,68 ;82,30 
;Mana coco;;;5,00 ;500,00 ;235,60 ;413,22 ;75,39 
;Mana leche;;;33,00 ;3.955,00 ;1.596,50 ;3.268,60 ;104,74 
;Mana limon;;;8,00 ;965,00 ;376,96 ;797,52 ;111,57 
;Mana Livianas Vainillas;;;32,00 ;3.620,00 ;1.632,00 ;2.991,74 ;83,32 
;Mana Rellenas Chocolate;;;37,00 ;5.620,00 ;2.330,26 ;4.644,63 ;99,32 
;Mana Rellenas chocolate 152 grs;;;36,00 ;6.570,00 ;2.978,40 ;5.429,75 ;82,30 
;Mana rellenas frutilla 152g;;;51,00 ;7.820,00 ;3.614,21 ;6.462,81 ;78,82 
;Mana Rellenas limon;;;44,00 ;6.510,00 ;2.951,80 ;5.380,16 ;82,27 
;Mana Rellenas Vainillas;;;19,00 ;2.760,00 ;1.194,72 ;2.280,99 ;90,92 
;Melba terrabusi;;;13,00 ;1.550,00 ;481,00 ;1.280,99 ;166,32 
;Melitas;;;8,00 ;1.030,00 ;496,24 ;851,24 ;71,54 
;Merengadas;;;34,00 ;4.420,00 ;1.974,92 ;3.652,89 ;84,96 
;Mini Alfajores Solitas 130 g;;;6,00 ;1.300,00 ;288,00 ;1.074,38 ;273,05 
;Mini Oreo x 50 g;;;2,00 ;140,00 ;41,74 ;115,70 ;177,20 
;Mini Rhodesia 60g;;;3,00 ;510,00 ;174,18 ;421,49 ;141,98 
;Okebon Avena y pasas;;;6,00 ;1.140,00 ;564,00 ;942,15 ;67,05 
;Okebon Molino Natural 10 Semillas 231g;;;7,00 ;1.330,00 ;658,00 ;1.099,17 ;67,05 
;Okebon Molino Natural avena y cacao 240g;;;6,00 ;1.140,00 ;564,00 ;942,15 ;67,05 
;Okebon Molino Natural Avena y granola 236g;;;4,00 ;760,00 ;376,00 ;628,10 ;67,05 
;Okebon Naranja y chips 238g;;;4,00 ;760,00 ;376,00 ;628,10 ;67,05 
;Opera 55g;;;22,00 ;1.840,00 ;704,00 ;1.520,66 ;116,00 
;Opera 92g;;;26,00 ;3.050,00 ;1.286,34 ;2.520,66 ;95,96 
;Oreo clasica 117g;;;45,00 ;8.440,00 ;2.790,00 ;6.975,21 ;150,01 
;Oreo Clasica 118grs;;;97,00 ;18.880,00 ;10.055,30 ;15.603,31 ;55,17 
;Paseo mini salvado;;;16,00 ;2.520,00 ;1.073,28 ;2.082,65 ;94,04 
;Paseo mix de cereales;;;3,00 ;510,00 ;148,74 ;421,49 ;183,37 
;Paseos 5 semillas 300g;;;31,00 ;5.180,00 ;1.953,51 ;4.280,99 ;119,14 
;Pepas Terepin 200g;;;41,00 ;3.090,00 ;1.455,00 ;2.553,72 ;75,51 
;Pepas Terepin x 400g;;;131,00 ;26.900,00 ;12.353,75 ;22.231,41 ;79,96 
;Pepitos Original 119 gr;;;70,00 ;13.270,00 ;6.552,00 ;10.966,94 ;67,38 
;Porteñitas 139 grs;;;3,00 ;360,00 ;195,69 ;297,52 ;52,04 
;Rex Estuche 125g;;;33,00 ;6.255,00 ;2.909,44 ;5.169,42 ;77,68 
;Rhodesia;;;228,00 ;16.960,00 ;7.175,92 ;14.016,53 ;95,33 
;Riera Salvador 200g;;;2,00 ;240,00 ;106,00 ;198,35 ;87,12 
;Ronda Hojalmar 150g;;;8,00 ;880,00 ;345,68 ;727,27 ;110,39 
;Rumba 112g;;;52,00 ;6.540,00 ;3.163,19 ;5.404,96 ;70,87 
;Ser dulce limon;;;2,00 ;44,00 ;24,06 ;36,36 ;51,14 
;Serranitas 105 grs;;;25,00 ;1.510,00 ;440,50 ;1.247,93 ;183,30 
;Serranitas x3  315g;;;52,00 ;8.265,00 ;3.887,76 ;6.830,58 ;75,69 
;Six pack de heineken;;;2,00 ;840,00 ;0,00 ;840,00 ;0,00 
;Snacky 60g;;;6,00 ;1.015,00 ;547,14 ;838,84 ;53,31 
;Sonrisas 118g;;;39,00 ;4.930,00 ;2.034,66 ;4.074,38 ;100,25 
;Surtido Bagley 390g;;;20,00 ;5.140,00 ;2.765,60 ;4.247,93 ;53,60 
;Surtido Bagley 398g;;;7,00 ;2.270,00 ;967,96 ;1.876,03 ;93,81 
;Surtido Diversión 390g;;;6,00 ;1.460,00 ;528,00 ;1.206,61 ;128,52 
;terrabusi Express x3 paquetes;;;6,00 ;1.380,00 ;528,00 ;1.140,50 ;116,00 
;Terrabusi Variedad 390g;;;14,00 ;4.380,00 ;1.035,02 ;3.619,83 ;249,74 
;Tortitas Black;;;22,00 ;2.900,00 ;799,04 ;2.396,69 ;199,95 
;Tortitas Chocolate;;;11,00 ;1.700,00 ;245,63 ;1.404,96 ;471,98 
;Tostadas Riera Clasicas;;;10,00 ;1.510,00 ;790,00 ;1.247,93 ;57,97 
;Tostadas Riera Dulces;;;8,00 ;1.050,00 ;550,72 ;867,77 ;57,57 
;Traviata 101g;;;16,00 ;1.370,00 ;727,68 ;1.132,23 ;55,59 
;Vainillas mauri;;;9,00 ;970,00 ;460,13 ;801,65 ;74,22 
;vainillas sweet cookies;;;7,00 ;1.290,00 ;684,90 ;1.066,12 ;55,66 
;Variedad premium 400g;;;14,00 ;3.860,00 ;1.937,04 ;3.190,08 ;64,69 
;Variedad Terrabusi 400 g;;;1,00 ;105,00 ;58,59 ;86,78 ;48,11 
;Variedad terrabusi chica 170g;;;6,00 ;540,00 ;294,00 ;446,28 ;51,80 
Total Rubro galletitas;2.635,00 ;369.981,00 ;160.544,72 ;306.187,94 ;90,72 ;;;
gaseosas (22);;;;;;;;
;7up 2,25 L;;;23,00 ;7.700,00 ;2.783,00 ;6.363,64 ;128,66 
;7up 2L Retornable;;;17,00 ;3.330,00 ;1.348,61 ;2.752,07 ;104,07 
;7up Free 500cc;;;47,00 ;4.890,00 ;2.071,29 ;4.041,32 ;95,11 
;aquarius retornable 2LT;;;2,00 ;360,00 ;186,00 ;297,52 ;59,96 
;Baggio Fresh mix natural;;;10,00 ;800,00 ;420,00 ;661,16 ;57,42 
;coca byte sin azucar 473ml;;;10,00 ;1.700,00 ;833,50 ;1.404,96 ;68,56 
;coca sin azucar marshmellos 473cc;;;8,00 ;1.200,00 ;632,00 ;991,74 ;56,92 
;levite fizz pomelo 575ml;;;21,00 ;1.840,00 ;804,30 ;1.520,66 ;89,07 
;Levite Pomelo Cero 500c;;;10,00 ;900,00 ;328,50 ;743,80 ;126,42 
;milinda lata 354ml;;;8,00 ;720,00 ;344,40 ;595,04 ;72,78 
;Mirinda 1.5l;;;23,00 ;4.180,00 ;1.955,00 ;3.454,55 ;76,70 
;paso de los toros por 2lt y cuarto;;;5,00 ;1.600,00 ;5,00 ;1.600,00 ;31.900,00 
;Pepsi 2L Retornable;;;72,00 ;15.560,00 ;5.711,76 ;12.859,50 ;125,14 
;Pepsi Black 2L Retornable;;;6,00 ;1.140,00 ;475,98 ;942,15 ;97,94 
;Pepsi lata;;;136,00 ;12.830,00 ;6.742,88 ;10.603,31 ;57,25 
;Pritty limon 2.25 lts;;;6,00 ;1.050,00 ;582,90 ;867,77 ;48,87 
;Schweepes pomelo lata;;;5,00 ;400,00 ;126,85 ;330,58 ;160,61 
;schwepppes pomelo sin azucar 2,25L;;;23,00 ;7.820,00 ;4.278,00 ;6.462,81 ;51,07 
Total Rubro gaseosas;432,00 ;68.020,00 ;29.629,97 ;56.492,56 ;90,66 ;;;
Generico (1);;;;;;;;
;Aceite de Oliva Cocinero 250ml;;;2,00 ;610,00 ;282,00 ;504,13 ;78,77 
;Aceituna Marvavic 200g;;;7,00 ;860,00 ;375,90 ;710,74 ;89,08 
;Aceto cocinero di modena 500cc;;;1,00 ;200,00 ;103,00 ;165,29 ;60,48 
;actron 600 unidad;;;73,00 ;6.030,00 ;0,00 ;4.983,47 ;0,00 
;Adicional desayuno;;;197,00 ;985,00 ;531,90 ;814,04 ;53,04 
;agua nestle 1.5;;;3,00 ;570,00 ;267,00 ;471,07 ;76,43 
;Agua Nihuil 600 ml;;;21,00 ;840,00 ;531,93 ;840,00 ;57,92 
;Ala cremoso con glicerina 750 ml;;;4,00 ;760,00 ;454,00 ;690,58 ;52,11 
;Ala Detergente cemoso colageno 750 ml;;;6,00 ;1.020,00 ;473,20 ;1.020,00 ;115,55 
;Alcohol 70% 500ml;;;1,00 ;120,00 ;80,00 ;120,00 ;50,00 
;alcohol en gel rexona antibacterial 300ml;;;2,00 ;590,00 ;322,00 ;487,60 ;51,43 
;alcohol san igino  500ml;;;16,00 ;2.355,00 ;1.150,40 ;1.946,28 ;69,18 
;Alfajor Artesanal Maicena;;;9,00 ;990,00 ;360,00 ;818,18 ;127,27 
;Alfajor sin culpa limon;;;8,00 ;640,00 ;239,60 ;528,93 ;120,75 
;Arvejas Arcor;;;11,00 ;1.505,00 ;657,20 ;1.243,80 ;89,26 
;ASPIRINA x 14 unidad;;;1,00 ;60,00 ;0,00 ;60,00 ;0,00 
;Atún Desmenuzado en aceite y agua 120g;;;1,00 ;160,00 ;77,00 ;160,00 ;107,79 
;Baggio Pera 200cc;;;1,00 ;60,00 ;6,28 ;60,00 ;855,41 
;baton blanco;;;25,00 ;1.250,00 ;525,00 ;1.033,06 ;96,77 
;Beldent fresh sparks;;;44,00 ;2.890,00 ;0,00 ;2.890,00 ;0,00 
;Beldent Infinit menta;;;14,00 ;1.400,00 ;0,00 ;1.400,00 ;0,00 
;birome macao china baratita;;;1,00 ;20,00 ;3,80 ;20,00 ;426,32 
;bolsa residuos 90x120 NIKITO;;;1,00 ;470,00 ;0,00 ;470,00 ;0,00 
;bolsas de residuos NIKITO 60x90;;;8,00 ;1.460,00 ;0,00 ;1.460,00 ;0,00 
;Bombilla Resorte Mensú;;;4,00 ;1.040,00 ;578,48 ;859,50 ;48,58 
;Bubbaloo Acido;;;30,00 ;30,00 ;0,00 ;30,00 ;0,00 
;Buscapina;;;23,00 ;1.660,00 ;0,00 ;1.660,00 ;0,00 
;Cadbury 3 sueños 82 grs;;;38,00 ;13.150,00 ;7.522,00 ;11.796,28 ;56,82 
;Cafayate malbec 2021;;;4,00 ;2.040,00 ;0,00 ;2.040,00 ;0,00 
;Cafe Instantaneo la virginia 100 grs;;;20,00 ;11.100,00 ;6.840,00 ;11.100,00 ;62,28 
;caldo de carne Knorr;;;2,00 ;40,00 ;24,00 ;33,06 ;37,74 
;CALDO GALLINA Knorr;;;12,00 ;360,00 ;180,00 ;297,52 ;65,29 
;CALDO GALLINA Knorr tableta;;;1,00 ;110,00 ;55,00 ;90,91 ;65,29 
;Candela Magiclic;;;1,00 ;320,00 ;211,00 ;320,00 ;51,66 
;Capricho alfajor Blanco;;;1,00 ;100,00 ;0,00 ;100,00 ;0,00 
;Capricho alfajor mousse;;;4,00 ;400,00 ;0,00 ;400,00 ;0,00 
;Capricho alfajor Negro;;;3,00 ;300,00 ;0,00 ;300,00 ;0,00 
;Cereal Mix frutilla chocolate;;;95,00 ;7.620,00 ;3.616,65 ;6.297,52 ;74,13 
;Chip celular;;;69,00 ;4.080,00 ;552,00 ;3.371,90 ;510,85 
;chocolate selofan 50% cacao 25g;;;21,00 ;1.720,00 ;842,12 ;1.421,49 ;68,80 
;Chocolate Taza Bonafide 100g;;;1,00 ;280,00 ;151,00 ;231,41 ;53,25 
;Chuker liquido 200cc;;;4,00 ;600,00 ;317,52 ;495,87 ;56,17 
;Chupetin Baby Doll cereza individual;;;12,00 ;120,00 ;0,00 ;120,00 ;0,00 
;Chupetin Chupetón Cito;;;1,00 ;60,00 ;27,01 ;49,59 ;83,59 
;Chupetines Baby Doll;;;71,00 ;5.670,00 ;2.272,00 ;4.685,95 ;106,25 
;Clight naranja dulce;;;27,00 ;1.080,00 ;0,00 ;1.080,00 ;0,00 
;Colon Dulce Fresco;;;5,00 ;1.900,00 ;0,00 ;1.900,00 ;0,00 
;Colon Selecto Malbec;;;11,00 ;4.480,00 ;0,00 ;4.480,00 ;0,00 
;Cosmos chupetin tutti frutti;;;1,00 ;15,00 ;0,00 ;15,00 ;0,00 
;Crunchips dulce de leche;;;6,00 ;960,00 ;0,00 ;960,00 ;0,00 
;Desodorante Axe fusion;;;1,00 ;250,00 ;26,10 ;250,00 ;857,85 
;Detergente Ala Limón 750ml;;;2,00 ;400,00 ;197,78 ;330,58 ;67,14 
;Devolucion envase general;;;176,00 ;(880,00);0,00 ;(727,27);0,00 
;Dove acondicionador cabello debil 200ml;;;2,00 ;450,00 ;200,00 ;371,90 ;85,95 
;Dove recontrucción completa shampoo 200ml;;;3,00 ;840,00 ;441,45 ;694,22 ;57,26 
;Dr Lemon Limon 437ml;;;3,00 ;450,00 ;151,98 ;371,90 ;144,70 
;Dr Lemon Vodka 473 ml;;;6,00 ;900,00 ;303,96 ;743,80 ;144,70 
;Dulce de Leche Tonadita;;;5,00 ;1.140,00 ;610,00 ;942,15 ;54,45 
;EliteX6;;;5,00 ;600,00 ;136,35 ;495,87 ;263,67 
;ENCENDEDOR BX7 COPIA BIC;;;144,00 ;9.240,00 ;4.905,00 ;7.636,37 ;55,69 
;Encendedor T-PREN-D;;;15,00 ;900,00 ;225,00 ;743,80 ;230,58 
;escarbadientes el coloso;;;4,00 ;240,00 ;96,92 ;198,35 ;104,65 
;Esponja Acero Virulana inoxy;;;1,00 ;60,00 ;23,38 ;49,59 ;112,09 
;Familia Gascon malbec 2021;;;4,00 ;3.320,00 ;0,00 ;3.320,00 ;0,00 
;Garrapiñada LA CHYRU;;;5,00 ;400,00 ;206,60 ;330,58 ;60,01 
;Gillette Prestobarba;;;23,00 ;2.980,00 ;1.863,00 ;2.980,00 ;59,96 
;Grolsch x 500ml;;;101,00 ;21.840,00 ;10.349,47 ;21.840,00 ;111,03 
;Harina Molinos Venado tuerto 000 1kg;;;2,00 ;140,00 ;0,00 ;140,00 ;0,00 
;Huesitos frutales pailas;;;8,00 ;480,00 ;231,36 ;396,69 ;71,46 
;Ibu 600  x unidad;;;89,00 ;2.660,00 ;0,00 ;2.660,00 ;0,00 
;Imperial Golden 1L;;;15,00 ;4.790,00 ;2.310,00 ;3.958,68 ;71,37 
;Jabon Lux Orquidea Negra 125g;;;4,00 ;240,00 ;108,00 ;198,35 ;83,65 
;Jugo Ser naranj;;;6,00 ;120,00 ;0,00 ;120,00 ;0,00 
;L&M blue;;;61,00 ;13.825,00 ;0,00 ;13.825,00 ;0,00 
;L&M LM red;;;72,00 ;17.540,00 ;0,00 ;9.620,00 ;0,00 
;La gotita en gel 3g;;;1,00 ;170,00 ;84,29 ;170,00 ;101,68 
;La yapa 17g;;;55,00 ;1.375,00 ;635,80 ;1.136,37 ;78,73 
;Lapicer bic;;;2,00 ;40,00 ;9,60 ;40,00 ;316,67 
;Lavandina ayudin anti-splash 1lt;;;1,00 ;150,00 ;102,61 ;150,00 ;46,18 
;lays clasicas 94g;;;1,00 ;230,00 ;69,93 ;190,08 ;171,82 
;Levite Cero Naranja 500 ml;;;12,00 ;1.200,00 ;0,00 ;1.200,00 ;0,00 
;Levite FIZZ limon 575 ml;;;23,00 ;1.900,00 ;0,00 ;1.900,00 ;0,00 
;Liverpool suave;;;123,00 ;16.280,00 ;9.717,00 ;16.280,00 ;67,54 
;LIVOPEN repelente de insectos 133g;;;1,00 ;395,00 ;175,00 ;326,45 ;86,54 
;lucky doble clic uva 20;;;1,00 ;260,00 ;0,00 ;260,00 ;0,00 
;Magdalenas don satur chocolate rellenas con dulce de leche;;;11,00 ;2.650,00 ;891,00 ;2.190,08 ;145,80 
;Magdalenas gaona sabor vainilla 200g;;;1,00 ;160,00 ;80,00 ;132,23 ;65,29 
;Magdalenas vainilla rellenas con dulce de leche;;;12,00 ;2.970,00 ;972,00 ;2.454,55 ;152,53 
;Maiz Pisingallo 400g;;;7,00 ;580,00 ;296,43 ;479,34 ;61,70 
;Mani con chocolate pailas;;;7,00 ;700,00 ;332,64 ;578,51 ;73,92 
;Manteca Tonadita 200 grs.;;;21,00 ;5.820,00 ;2.932,65 ;4.809,92 ;64,01 
;Mantecol 41 grs;;;45,00 ;5.470,00 ;0,00 ;5.470,00 ;0,00 
;Mayonesa Danica 250ml;;;2,00 ;260,00 ;129,20 ;214,88 ;66,31 
;Mermelada BC ciruela 39 grs;;;3,00 ;990,00 ;546,39 ;818,18 ;49,74 
;Mermelada BC frutilla 390 grs;;;3,00 ;1.250,00 ;0,00 ;1.250,00 ;0,00 
;Mermelada Noel Frutilla;;;1,00 ;210,00 ;89,42 ;210,00 ;134,85 
;Mogul Extreme Sandia;;;73,00 ;5.530,00 ;2.879,85 ;4.570,25 ;58,70 
;Monster Energy Ultra Sunrise;;;22,00 ;5.560,00 ;1.936,00 ;4.595,04 ;137,35 
;monster the doctor 473cc;;;36,00 ;8.550,00 ;3.942,00 ;7.066,12 ;79,25 
;Natural break almendras y chocolate;;;16,00 ;1.440,00 ;0,00 ;1.440,00 ;0,00 
;Natural break almendras y mani;;;9,00 ;810,00 ;0,00 ;810,00 ;0,00 
;Nero 53 fernet 750cc;;;1,00 ;860,00 ;295,00 ;710,74 ;140,93 
;Nestum kids banana 180 ml;;;1,00 ;200,00 ;108,00 ;165,29 ;53,05 
;Norton clasico 1895 tinto;;;4,00 ;1.360,00 ;0,00 ;1.360,00 ;0,00 
;nosotras diarios  x20;;;3,00 ;510,00 ;255,00 ;421,49 ;65,29 
;nosotras tampones  8 regulares;;;4,00 ;760,00 ;368,00 ;628,10 ;70,68 
;Pan Bimbo con lino;;;2,00 ;580,00 ;180,00 ;479,34 ;166,30 
;Pan Bimbo Lacteal familiar;;;2,00 ;840,00 ;395,00 ;694,21 ;75,75 
;Pan Dulce Con Pepas de Chocolate Fantoche 400G;;;4,00 ;1.400,00 ;676,00 ;1.157,02 ;71,16 
;Pan Para Hamburguesas Bimbo;;;87,00 ;17.710,00 ;6.862,95 ;14.636,36 ;113,27 
;Papel Higienico Sanidad x 4 Rollos;;;10,00 ;2.340,00 ;1.335,00 ;2.340,00 ;75,28 
;paracetamol x unidad;;;19,00 ;190,00 ;0,00 ;190,00 ;0,00 
;Paso de los toros pomelo light 500 ml;;;20,00 ;2.190,00 ;0,00 ;2.190,00 ;0,00 
;Pedrin papas provenzal 70 grs;;;5,00 ;1.090,00 ;0,00 ;1.090,00 ;0,00 
;pehuamar palisal 190g;;;3,00 ;720,00 ;384,67 ;595,04 ;54,69 
;Pepas trio con chips;;;2,00 ;220,00 ;100,00 ;181,82 ;81,82 
;petaca vodka derna;;;18,00 ;2.900,00 ;1.398,24 ;2.396,69 ;71,41 
;Pico Dulce Chupeton;;;22,00 ;1.320,00 ;14,74 ;1.320,00 ;8.855,22 
;Pipas gigantes 180 grs;;;5,00 ;1.220,00 ;800,00 ;1.220,00 ;52,50 
;Pipas Peladas 180 grs;;;4,00 ;960,00 ;640,00 ;960,00 ;50,00 
;Pipas peladas natural 180grs;;;1,00 ;300,00 ;0,00 ;300,00 ;0,00 
;Poet musica en primavera 900 ml;;;9,00 ;1.440,00 ;818,64 ;1.440,00 ;75,90 
;Poett desod ambiente lavanda;;;2,00 ;460,00 ;0,00 ;460,00 ;0,00 
;Poett desod ambiente primavera;;;2,00 ;460,00 ;0,00 ;460,00 ;0,00 
;Poett desodorante ambiente solo para ti;;;2,00 ;460,00 ;252,00 ;380,17 ;50,86 
;Poett espiritu play 900 ml;;;3,00 ;540,00 ;0,00 ;540,00 ;0,00 
;Poett flores de primavera 900 ml;;;11,00 ;1.940,00 ;0,00 ;1.940,00 ;0,00 
;Poett solo para ti 900 ml;;;3,00 ;510,00 ;0,00 ;510,00 ;0,00 
;preservativo tulipan frutilla para sexo oral;;;1,00 ;160,00 ;73,21 ;132,23 ;80,62 
;promo cafe con barrita fit mix;;;6,00 ;900,00 ;0,00 ;900,00 ;0,00 
;pronto shake;;;24,00 ;3.820,00 ;1.512,00 ;3.157,02 ;108,80 
;rexona rollon mujer 50ml  48h;;;5,00 ;1.185,00 ;526,95 ;979,34 ;85,85 
;Rollo de Cocina Cartabella por 3;;;4,00 ;440,00 ;40,44 ;440,00 ;988,03 
;Sahmpo sedal 10ml;;;20,00 ;400,00 ;140,00 ;330,58 ;136,13 
;Sal Fina Dos Anclas;;;6,00 ;420,00 ;231,00 ;347,11 ;50,26 
;Saladix Queso 100 grs;;;3,00 ;470,00 ;0,00 ;470,00 ;0,00 
;salamines picado fino fox;;;23,00 ;6.690,00 ;3.211,03 ;5.528,93 ;72,19 
;Salsa Golf Natura 250g;;;1,00 ;90,00 ;58,00 ;90,00 ;55,17 
;sanguche mila;;;859,00 ;236.720,00 ;104.577,76 ;195.636,36 ;87,07 
;Sativa Celulosa Menta;;;14,00 ;1.260,00 ;700,00 ;1.041,32 ;48,76 
;sedal sobrecito 10ml acondicionador;;;21,00 ;420,00 ;231,00 ;347,11 ;50,26 
;shampoo dove cabello dañado;;;5,00 ;1.250,00 ;620,00 ;1.033,06 ;66,62 
;Sierra de los padres agua 1.5 lts;;;9,00 ;720,00 ;383,40 ;595,04 ;55,20 
;Sierra de los padres naranja 1.5 lts;;;5,00 ;550,00 ;354,00 ;550,00 ;55,37 
;Sierra de los padres pomelo blanco 1.5 lts;;;6,00 ;660,00 ;424,80 ;660,00 ;55,37 
;Soda Social 1.5 lts;;;8,00 ;480,00 ;0,00 ;480,00 ;0,00 
;Sopa Knorr Verduras 56g;;;2,00 ;110,00 ;62,80 ;90,91 ;44,76 
;Sopa quick vegetales por sobre;;;15,00 ;450,00 ;0,00 ;450,00 ;0,00 
;Speed 250 ml;;;16,00 ;2.580,00 ;0,00 ;2.580,00 ;0,00 
;sucaryl  x50sobres;;;1,00 ;220,00 ;0,00 ;220,00 ;0,00 
;TABACO PIER RUBIO;;;4,00 ;1.000,00 ;0,00 ;1.000,00 ;0,00 
;TAFIROL medicamiento x unidad;;;30,00 ;895,00 ;0,00 ;895,00 ;0,00 
dulce;tarta cocada;;;1,00 ;300,00 ;160,00 ;300,00 ;87,50 
;Te La Virginia 25 saquitos;;;7,00 ;810,00 ;476,00 ;810,00 ;70,17 
;tic tac menta fuerte;;;9,00 ;700,00 ;312,00 ;588,93 ;88,76 
;toallitas calipso  diarios;;;4,00 ;400,00 ;0,00 ;400,00 ;0,00 
;toallitas calipso tanga;;;2,00 ;200,00 ;0,00 ;200,00 ;0,00 
;Toddy 126g;;;24,00 ;4.280,00 ;1.479,60 ;3.537,19 ;139,06 
;Trapiche Alaris dulce natural;;;3,00 ;1.200,00 ;660,00 ;991,74 ;50,26 
;Triangulitos de hojaldre mafalda;;;13,00 ;1.170,00 ;601,64 ;966,94 ;60,72 
;Turron Bonafide mani con miel 80g;;;2,00 ;140,00 ;70,00 ;115,70 ;65,29 
;Tuy Edulcorante x 50 Sobres;;;3,00 ;300,00 ;135,00 ;247,93 ;83,65 
;We Ser Citrus 500ml;;;25,00 ;2.430,00 ;1.062,50 ;2.008,26 ;89,01 
;We Ser Lemon 500ml;;;37,00 ;3.820,00 ;1.623,19 ;3.157,02 ;94,50 
;Xmart Rapi 2;;;2,00 ;70,00 ;36,00 ;57,85 ;60,70 
;Yogurt light Tregar 900grs FRUTILLA;;;3,00 ;510,00 ;300,00 ;461,54 ;53,85 
;Yogurt light Tregar 900grs VAINILLA;;;3,00 ;510,00 ;300,00 ;461,54 ;53,85 
Total Rubro Generico;3.645,00 ;555.165,00 ;213.082,71 ;478.290,64 ;124,46 ;;;
Golosinas (3);;;;;;;;
;Alfajor Sin Culpa Blanco;;;18,00 ;1.740,00 ;848,40 ;1.438,02 ;69,50 
;alfajor sin culpa frutos rojos;;;16,00 ;1.280,00 ;637,92 ;1.057,85 ;65,83 
;Bananita Dolca 14g;;;4,00 ;280,00 ;144,60 ;231,40 ;60,03 
;Bananita Dolca grande 30g;;;27,00 ;2.500,00 ;1.203,60 ;2.066,12 ;71,66 
;barra de arroz sin culpa sabor frutilla;;;3,00 ;45,00 ;14,88 ;37,19 ;149,93 
;barrita aguila 60% cacao 14 grs;;;20,00 ;1.400,00 ;641,60 ;1.157,02 ;80,33 
;Barrita sin culpa de arroz sabor frutos rojos;;;3,00 ;180,00 ;0,00 ;180,00 ;0,00 
;barrita sin culpa de arroz sabor limon;;;8,00 ;120,00 ;0,00 ;120,00 ;0,00 
;baton;;;49,00 ;2.310,00 ;818,86 ;1.909,09 ;133,14 
;bizcochos bay biscuit 140g;;;57,00 ;7.900,00 ;3.013,26 ;6.528,93 ;116,67 
;bon o bon clásico;;;227,00 ;8.855,00 ;4.067,74 ;7.318,19 ;79,91 
;Cabsha bocadito;;;53,00 ;2.280,00 ;679,99 ;1.884,30 ;177,11 
;Cadbury yogurt frutilla 29 grs;;;21,00 ;3.330,00 ;0,00 ;3.330,00 ;0,00 
;caja de fosforos fragata;;;32,00 ;850,00 ;435,00 ;740,66 ;70,27 
;Caramelos varios;;;336.591,00 ;337.449,00 ;185.125,05 ;278.867,89 ;50,64 
;Chocofigu emoji 5g;;;2,00 ;50,00 ;26,98 ;41,32 ;53,16 
;clásicas billiken de frutas;;;14,00 ;560,00 ;58,66 ;560,00 ;854,65 
;cocinerito;;;10,00 ;5.250,00 ;2.804,10 ;4.338,84 ;54,73 
;cofler graffiti;;;1,00 ;35,00 ;19,39 ;28,93 ;49,18 
;crema de leche tremblay x 200 grs;;;71,00 ;16.250,00 ;7.762,11 ;13.429,75 ;73,02 
;esponja mortimer cuadriculada;;;17,00 ;1.040,00 ;374,00 ;1.040,00 ;178,07 
;fit mix  frutos secos  bolsita;;;43,00 ;6.030,00 ;0,00 ;6.030,00 ;0,00 
;Gigante detergente 750cc;;;2,00 ;460,00 ;236,00 ;380,17 ;61,09 
;Habanitos Terrabusi 60 gr;;;4,00 ;680,00 ;270,12 ;561,98 ;108,05 
;Halls cherry;;;17,00 ;1.020,00 ;357,00 ;842,98 ;136,13 
;halls sabor mentol;;;23,00 ;1.810,00 ;145,59 ;1.495,87 ;927,45 
;halls sabor miel;;;45,00 ;2.950,00 ;1.320,00 ;2.438,02 ;84,70 
;Halls Strong;;;94,00 ;6.990,00 ;2.444,00 ;5.776,86 ;136,37 
;Huevo Kinder 20g;;;1,00 ;55,00 ;23,14 ;45,45 ;96,43 
;huevo kinder rosa nena 20 g;;;59,00 ;11.260,00 ;5.327,24 ;9.305,79 ;74,68 
;Huevo Kinder x 2;;;2,00 ;180,00 ;76,26 ;148,76 ;95,07 
